
2025/02/24 (08:47:42) | ===> btop++ v.1.4.0
2025/02/24 (08:47:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (08:47:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (08:47:49) | ===> btop++ v.1.4.0
2025/02/24 (08:47:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (08:47:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (09:33:10) | ===> btop++ v.1.4.0
2025/02/24 (09:33:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (09:33:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (10:26:08) | ===> btop++ v.1.4.0
2025/02/25 (10:26:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (10:26:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (10:49:25) | ===> btop++ v.1.4.0
2025/02/25 (10:49:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (10:49:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (08:43:20) | ===> btop++ v.1.4.0
2025/02/26 (08:43:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (08:43:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (08:44:08) | ===> btop++ v.1.4.0
2025/02/26 (08:44:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (08:44:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/26 (08:44:11) | WARNING: Failed to join _runner thread on exit!

2025/02/26 (08:44:16) | ===> btop++ v.1.4.0
2025/02/26 (08:44:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (08:44:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (08:44:25) | ===> btop++ v.1.4.0
2025/02/26 (08:44:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (08:44:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (08:44:29) | ===> btop++ v.1.4.0
